Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,,EMMA BASKET,2433115,,,,CM,30,20,16,,,,,2.00,Rattan Slimit Grey,Natural Grey,,12,33x23x18 cm,0.36,1.20,0.01,,,,,,,
,25900,HAVA BASKET SET OF 2,2433116,"L:52,5x33x30 cm
S: 40x27x23 cm",,,CM,52.50,33.00,30,,,,,,"Rattan Kubu Grey , besi kuningan handle",Natural Grey,,45,59x36x31 cm,2.23,3.80,0.07,,,,,,,
,,HEISI MINI TROLLEY,2433117,,,,CM,32,28.50,62,,,,,3.00,"Rattan Slimit Grey , Teak Wood's wheels, Rattan 1/2 polesh (handle)",Natural Grey,,32,34x31x64 cm,1.30,2.50,0.07,,,,,,,
,,WHEELS BASKET,2433118,,,,CM,49,20,47,,,,,3.00,"Rattan Kubu Grey ,  wheels",Natural Grey,,26,52x23x49 cm,2.15,3.20,0.06,,,,,,,
,y,Dog Bed Rattan - LARGE,NWSL 15137,Removable and Washable Cushion,"YES
Removable and Washable
Dacroon, Fabric indoor CP 7X7 cream",,CM,116,79,68.50,,,,,,"Rattan semi polished , Rattan core , Rattan KUBU Grey",Natural Grey,,139,120x83x72 cm,12.60,18.00,0.72,,,,,,,
,,EGG STORAGE,24350170,,,,CM,25,14,25.50,,,,,,"Iron Frame, Rattan slimit grey, Teak wood",Natural,,26,27x16x27 cm,1.34,1.70,0.01,,,,,,,
,y,YETTA PET CAGE,24350173,"- Cushion with piping
- Cushion like shown below, 100% cotton, removable and washable","YES , Filling Dacroon 100% polyester and Indoor Fabric 100% cotton brown color",,CM,62,51.50,26,,,,,10.00,"Rattan kubu grey  , rattan semi polish , cushion",Natural Grey,,42,64x53x28 cm,4.80,6.60,0.09,,,,,,,
,25511,BATH MAT - M,24350172,"Revise Total Width to be 95 cm 
Rug 90 cm
Fringes 2,5 cm",,,CM,95,60,0.50,,,,,,"Braided Alang Reed, cotton rope",Natural,,20.50,65x11x11 cm,0.75,1.30,0.01,,,,,,,
,25630,GANSE DECO,24350178,,,,CM,51,32.50,44.50,,,,,5 Kg,"Iron frame, rattan fitrit","White, orange",,32,54x35x47 cm,1.37,2.90,0.09,,,,,,,
,25563,AVA BASKET,2433119,Same material as 22441 & same thickness,,,CM,36.50,36.50,"25,5/34",,,,,,"Braided waterhyacinth, seagrass","Natural, Red",,15.00,39x39x37 cm,1.35,2.90,0.06,,,,,,,
,25722,LENA SHOPPING CART,24350174,"- Colour should be slimit grey and they would prefer wooden wheels.  
- They would like to make some changes for the weaving as They would like to have it matching to the market stall. weaving reference",,,CM,42,36,48,,,,,8 Kg,"Rattan polesh, rattan slimit grey, teak wood wheels","Natural Grey
Waterbase",,45,45x39x51 cm,2.00,3.50,0.09,,,,,,,
,,MYRIA PET CAGE,24350175,Eco Option,"YES , Filling Dacroon 100% polyester and Indoor Fabric 100% cotton Mocca color CP7X7",,CM,60,51,29.50,,,,,,"Rattan kubu grey  , rattan semi polish , cushion",Natural Grey,,39.50,63x53x33 cm,3.68,5.10,0.11,,,,,,,
,26094,ZELMA PET CAGE,24350176,No pattern,"YES 
Removable Cushion, full dacroon, cp 7x7 cream 100% cotton",,CM,52,52,44.50,,,,,,"Rattan Semipolish, Rattan Kubu Grey , cushion",Natural Grey,,39,54x54x47 cm,4.10,5.80,0.14,,,,,,,
,14453,MENDONG BASKET SET OF 2,2433113,"S: 40/62 x 40 x 55/65 cm

Without Top Coat",,,CM,50/72,50,65/75,,,,,,"Braided mendong, rattan fitrit",Finish flexy coat,,33.50,52x52x75 cm,3.50,5.00,0.19,,,,,,,
,25721,HAIKA DECO WITH 6 Pcs SHORT BASKETS,24350177,"WITH 6 PCS BASKET SHORT VER.

21x32,5x11 cm",,,CM,80,40.5,126,,,,,43 Kg,"Rattan 3/4 polesh, rattan slimit grey","Natural grey
Waterbase",,168,83x43x129 cm,7.46,8.90,0.46,,,,,,,
,25708,HAIKA BASKET SET OF 2,2433120,BASKET ONLY,,,CM,21,32.50,11,,,,,,Rattan slimit grey,"Natural grey
Waterbase",,18.5,24x36x25 cm,1.00,1.40,0.022,,,,,,,
,,SCRATCHER TREE,24350179,,,,CM,41,41,80,,,,,,"Mahogany wood  , Cotton rope","Off-white, green forest",,75,44x44x83 cm,7.20,8.70,,,,,,,,
,,MILVA PET CAGE,24350180,,"YES removable Cushion , Filling Dacroon 100% polyester and Indoor Fabric 100% cotton Cream color",,CM,51.50,50.50,72.50,,,,,,"Iron Frame , Rattan Kubu Grey , Cushion",Natural,,54,54x53x75 cm,9.30,10.80,0.21,,,,,,,
,,VILMA PET CAGE,24350181,,"YES Removable, Filling Dacroon 100% polyester and Indoor Fabric 100% cotton Cream color CP7X7",,CM,62,53.50,30,,,,,,"Rattan full polesh, rattan kubu grey, cushion",Natural Grey,,49,65x56x33 cm,4.30,6.90,0.12,,,,,,,
,,ZOE PET CAGE,24350182,With shelve,"YES Removable Cushion, Filling Dacroon 100% polyester and Indoor Fabric 100% cotton Mocca color CP7X7",,CM,46,46,76,,,,,,"Mahogany wood frame, Rattan kubu grey, cushion",Natural Grey,,64,49x49x79 cm,13.00,14.50,0.19,,,,,,,
,,ARCHIE BAMBOO BASKET,2533045,,,,CM,49,49,52,,,,,3 Kg,Bamboo,WB Black Wash,,25,52x52x55 cm,1.62,2.80,0.15,,,,,,,
,,HOMMY WALL BASKET,2533046,,,,CM,23.5,18,23.0,,,,,1 Kg,"Iron frame , rattan slimit grey",Natural Grey,,12,26x21x26 cm,0.25,1.00,0.01,,,,,,,
,,ANDREA CHAIR,2531029,,"YES
Seat: 53x63x5 cm (Foam, CP 7x7 Cream)
Back: 46x10x57 cm (Dacroon, CP 7x7 Cream)",,CM,70,79,95,,,,,100 Kg,"Rattan 1/2 polish , Rattan kubu grey",Natural grey,,89,73x82x98 cm,9.43,10.50,0.59,,,,,,,
